report_id,description,report_type,location,department,hazard_category,unsafe_act,unsafe_condition,context,label,sif_potential,risk_level
REP-2042,Scaffold erected over open water without life buoys or net protection.,UNSAFE_CONDITION,Jetty Platform 4,Civil,WORKING_AT_HEIGHT,NO_NET,OVER_WATER_HEIGHT,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2043,Worker carrying heavy toolbox with both hands while climbing vertical ladder.,UNSAFE_ACT,Silow Tower 2,Maintenance,WORKING_AT_HEIGHT,NO_THREE_POINT_CONTACT,LADDER_CLIMB,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2044,Self-retracting lifeline SLR tested and inspected prior to derrick work.,SAFE_COMPLIANCE,Derrick Rig 1,Drilling,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2045,Missing floor grating creating 10 meter open drop hazard without barricade.,UNSAFE_CONDITION,Compressor House Deck,Maintenance,WORKING_AT_HEIGHT,NO_BARRICADE,OPEN_FLOOR_DROP,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2046,Safety net installed under elevated piperack construction zone.,SAFE_COMPLIANCE,Piperack East,Construction,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2047,Worker climbed wooden ladder placed on uneven muddy ground without tying off top.,UNSAFE_ACT,Pipeline Trench 7,Civil,WORKING_AT_HEIGHT,UNSECURED_LADDER,UNEVEN_GROUND,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2048,Tool lanyard used for all hand tools while working on elevated grating.,SAFE_COMPLIANCE,Structure B Level 4,Maintenance,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2049,Heavy wrench dropped from 14 meters elevation narrowly missing worker below.,NEAR_MISS,Drilling Derrick,Drilling,WORKING_AT_HEIGHT,DROPPED_TOOL,NO_DROPPED_OBJECT_PREVENTION,NEAR_MISS,SIF_PRECURSOR,1,CRITICAL
REP-2050,Work at height permit authorized for roof repair with full anchor tie-off.,SAFE_COMPLIANCE,Admin Roof,Safety,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2051,Manbasket attached to crane without safety latch or secondary sling tie-off.,UNSAFE_CONDITION,Offshore Berth,Operations,WORKING_AT_HEIGHT,IMPROPER_RIGGING,MANBASKET_HAZARD,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2052,Supervisor stopped worker from climbing pole without safety harness.,PREVENTED_EVENT,Substation Pole 3,Electrical,WORKING_AT_HEIGHT,NONE,NO_HARNESS_ATTEMPT,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2053,Worn and frayed safety lanyard D-ring discovered during pre-use inspection.,UNSAFE_CONDITION,Tool Room,HSE,WORKING_AT_HEIGHT,NONE,DAMAGED_EQUIPMENT,SAFE_COMPLIANCE,SIF_PRECURSOR,1,HIGH
REP-2054,Worker detached harness to walk across un-decked steel purlins at 10 meters.,UNSAFE_ACT,Warehouse Frame,Construction,WORKING_AT_HEIGHT,DETACHED_HARNESS,OPEN_PURLINS,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2055,Fall protection anchor point load rating certified and stamped for 22 kN.,SAFE_COMPLIANCE,Rig Mast,Drilling,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2056,Scaffold plank cracked under weight of two workers at 6 meters elevation.,NEAR_MISS,Process Unit 3,Maintenance,WORKING_AT_HEIGHT,OVERLOADED_PLANK,DEFECTIVE_PLANK,NEAR_MISS,SIF_PRECURSOR,1,HIGH
REP-2057,Ladder extended 1 meter above landing surface and secured at top.,SAFE_COMPLIANCE,Tank 5 Wall,Maintenance,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2058,Worker worked at 14 meters without connecting the safety lanyard.,UNSAFE_ACT,Communication Tower,Telecom,WORKING_AT_HEIGHT,NO_LANYARD,HIGH_ELEVATION,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2059,Worker connected the safety lanyard before starting work at height.,SAFE_COMPLIANCE,Communication Tower,Telecom,WORKING_AT_HEIGHT,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2060,High wind speed 35 knots caused temporary suspension of all work at height.,PREVENTED_EVENT,Offshore Crane Deck,Safety,WORKING_AT_HEIGHT,NONE,HIGH_WIND,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2061,Live high voltage conductor exposed in electrical substation without LOTO lockout tagout.,UNSAFE_CONDITION,Substation 3,Electrical,ELECTRICAL_SAFETY,NO_LOTO,EXPOSED_LIVE_WIRE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2062,Arc flash occurred while inserting circuit breaker without arc flash face shield.,UNSAFE_ACT,Main Switchgear Room,Electrical,ELECTRICAL_SAFETY,NO_PPE_ARC_FLASH,LIVE_SWITCHGEAR,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2063,Technician isolated power breaker padlocked breaker box and tagged LOTO before repair.,SAFE_COMPLIANCE,Motor Control Center 2,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2064,Electrician verified zero voltage with multimeter before touching pump motor terminals.,SAFE_COMPLIANCE,Pump House A,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2065,Worker opened 415V electrical panel with wet gloved hands during heavy rain.,UNSAFE_ACT,Outdoor Panel P-4,Maintenance,ELECTRICAL_SAFETY,WET_HANDS_ELECTRICAL,RAIN_EXPOSURE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2066,Electrical junction box cover missing in rain exposed area.,UNSAFE_CONDITION,Outer Perimeter,Electrical,ELECTRICAL_SAFETY,NONE,MISSING_COVER,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2067,Technician worked on energized 11kV transformer without insulated rubber safety gloves.,UNSAFE_ACT,Main Substation,Electrical,ELECTRICAL_SAFETY,NO_INSULATED_GLOVES,HIGH_VOLTAGE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2068,LOTO audit confirmed all 6 isolation padlocks locked and red tags signed.,SAFE_COMPLIANCE,Compressor Room,HSE,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2069,Bypassed electrical interlock on high voltage cabinet to bypass tripping signal.,UNSAFE_ACT,Control Room Annex,Instruments,ELECTRICAL_SAFETY,BYPASSED_INTERLOCK,HIGH_VOLTAGE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2070,Work did not start on generator because isolation key was missing from lockbox.,PREVENTED_EVENT,Power House,Electrical,ELECTRICAL_SAFETY,NONE,LOTO_INCOMPLETE,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2071,Damaged cable insulation exposed copper conductor near walking aisle.,UNSAFE_CONDITION,Fabrication Shop,Electrical,ELECTRICAL_SAFETY,NONE,DAMAGED_CABLE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2072,Portable electrical generator grounded with copper earth rod prior to use.,SAFE_COMPLIANCE,Laydown Yard 2,Civil,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2073,Operator touched ungrounded motor casing and received severe electric shock.,NEAR_MISS,Water Injection Plant,Operations,ELECTRICAL_SAFETY,UNGROUNDED_EQUIPMENT,ELECTRIC_SHOCK,NEAR_MISS,SIF_PRECURSOR,1,CRITICAL
REP-2074,Residual current breaker RCCB tested monthly and functioned correctly.,SAFE_COMPLIANCE,Camp Mess Building,Maintenance,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2075,Unauthorized personnel unlocked LOTO lock using master key without permit owner.,UNSAFE_ACT,Switchgear B,Maintenance,ELECTRICAL_SAFETY,UNAUTHORIZED_LOTO_REMOVAL,PROCEDURAL_VIOLATION,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2076,Insulated safety tools inspected and approved for live panel diagnostic work.,SAFE_COMPLIANCE,Substation 1,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2077,Water accumulated on floor inside active electrical transformer room.,UNSAFE_CONDITION,Transformer Yard,Civil,ELECTRICAL_SAFETY,NONE,WATER_NEAR_VOLTAGE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2078,Electrician refused to work on panel until main breaker upstream was opened.,PREVENTED_EVENT,Desalter Substation,Electrical,ELECTRICAL_SAFETY,NONE,LIVE_PANEL,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2079,Technician removed an electrical panel cover while energized.,UNSAFE_ACT,Substation 4,Electrical,ELECTRICAL_SAFETY,ENERGIZED_COVER_REMOVAL,LIVE_VOLTAGE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2080,Technician isolated and verified zero energy before opening the panel.,SAFE_COMPLIANCE,Substation 4,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2081,Flexible electrical conduit pulled out of gland exposing internal wires.,UNSAFE_CONDITION,Wellhead 21,Maintenance,ELECTRICAL_SAFETY,NONE,EXPOSED_WIRES,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2082,Lockout hardshell box used for group LOTO with 4 individual padlocks attached.,SAFE_COMPLIANCE,Boiler Room,Operations,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2083,High voltage warning sign posted on transformer enclosure gate.,SAFE_COMPLIANCE,Substation Gate,Safety,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2084,Worker plugged 110V grinder into 415V socket causing flash and fuse explosion.,NEAR_MISS,Workshop 3,Maintenance,ELECTRICAL_SAFETY,VOLTAGE_MISMATCH,FUSE_EXPLOSION,NEAR_MISS,SIF_PRECURSOR,1,HIGH
REP-2085,Electrician checked phase rotation using certified digital phase meter.,SAFE_COMPLIANCE,MCC Room,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2086,Substation door latch broken allowing unauthorized public entry.,UNSAFE_CONDITION,Substation 2,Civil,ELECTRICAL_SAFETY,NONE,UNLOCKED_SUBSTATION,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2087,Overcurrent protection relay trip test performed successfully.,SAFE_COMPLIANCE,Power Plant,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2088,Temporary power distribution board lacked earthing pit connection.,UNSAFE_CONDITION,Rig Site 8,Electrical,ELECTRICAL_SAFETY,NO_EARTHING,UNGROUNDED_BOARD,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2089,Safety officer stopped contractor from using extension cord with exposed splices.,PREVENTED_EVENT,Admin Construction,Safety,ELECTRICAL_SAFETY,NONE,SPLICED_CORD,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2090,Rubber insulating mat replaced in front of main 415V switchboard.,SAFE_COMPLIANCE,Substation 1,Electrical,ELECTRICAL_SAFETY,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2091,Crane sling snapped during heavy pipe lift suspended load swung overhead.,NEAR_MISS,Pipe Storage Yard,Logistics,SUSPENDED_LOAD,OVERHEAD_SWING,SNAPPED_SLING,NEAR_MISS,SIF_PRECURSOR,1,HIGH
REP-2092,Overhead crane hook safety latch broken during pipe hoisting.,UNSAFE_CONDITION,Yard 3,Logistics,SUSPENDED_LOAD,NONE,BROKEN_SAFETY_LATCH,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2093,Heavy steel beam swung wildly during crane lift due to tag line missing.,UNSAFE_ACT,Jetty Dock,Logistics,SUSPENDED_LOAD,NO_TAG_LINE,UNCONTROLLED_LOAD,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2094,Crane lifted a suspended load while a worker stood underneath.,UNSAFE_ACT,Material Laydown,Logistics,SUSPENDED_LOAD,STANDING_UNDER_LOAD,SUSPENDED_LOAD_HAZARD,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2095,The lifting area was barricaded and workers stayed outside the exclusion zone.,SAFE_COMPLIANCE,Material Laydown,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2096,Rigger verified crane load chart capacity before initiating 25-ton lift.,SAFE_COMPLIANCE,Rig Site 2,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2097,Webbing sling showed severe cuts and acid burns but was still used for lift.,UNSAFE_ACT,Chemical Yard,Maintenance,SUSPENDED_LOAD,DAMAGED_SLING_USE,DEFECTIVE_SLING,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2098,Lifting permit approved and critical lift plan reviewed by rig engineer.,SAFE_COMPLIANCE,Offshore Platform,Safety,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2099,Crane operator lifted load exceeding 110% of rated safe working load capacity.,UNSAFE_ACT,Jetty Crane 1,Operations,SUSPENDED_LOAD,OVERLOADING_CRANE,EXCEEDED_SWL,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2100,Outriggers fully extended on timber mats prior to mobile crane operation.,SAFE_COMPLIANCE,Laydown Area C,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2101,Tag lines attached on both ends of pipe bundle to control spin during hoist.,SAFE_COMPLIANCE,Pipe Yard 2,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2102,Crane boom contacted overhead 33kV power line causing spark and tire blow.,NEAR_MISS,Access Road 4,Construction,SUSPENDED_LOAD,POWERLINE_CONTACT,OVERHEAD_WIRE,NEAR_MISS,SIF_PRECURSOR,1,CRITICAL
REP-2103,Bankman signaled crane operator to stop lift when bystander walked under boom.,PREVENTED_EVENT,Storage Yard,Safety,SUSPENDED_LOAD,NONE,BYSTANDER_IN_ZONE,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2104,Shackle pin missing safety cotter key during heavy generator positioning.,UNSAFE_CONDITION,Generator Station,Maintenance,SUSPENDED_LOAD,MISSING_COTTER_PIN,UNSECURED_SHACKLE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2105,Crane anti-two-block limit switch tested and functional before shift.,SAFE_COMPLIANCE,Crawler Crane 3,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2106,Container dropped 3 meters when hoist brake slipped during tandem lift.,NEAR_MISS,Port Terminal,Logistics,SUSPENDED_LOAD,BRAKE_SLIP,DROPPED_CONTAINER,NEAR_MISS,SIF_PRECURSOR,1,CRITICAL
REP-2107,Red warning tape and safety cones placed around lifting radius.,SAFE_COMPLIANCE,Unit 1 Laydown,Safety,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2108,Rigger stood directly under 5-ton valve assembly while guiding into place.,UNSAFE_ACT,Manifold Area,Maintenance,SUSPENDED_LOAD,STANDING_UNDER_VALVE,SUSPENDED_VALVE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,CRITICAL
REP-2109,Lift halted due to sudden gusting wind exceeding crane safe operating limit.,PREVENTED_EVENT,Jacket Structure,Safety,SUSPENDED_LOAD,NONE,WIND_GUSTS,PREVENTED_EVENT,NON_SIF_PRECURSOR,0,LOW
REP-2110,Rigging wire rope frayed with multiple broken strands on main winch drum.,UNSAFE_CONDITION,Drilling Rig 3,Drilling,SUSPENDED_LOAD,NONE,FRAYED_ROPE,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
REP-2111,Certified rigger directed crane movements using standard hand signals.,SAFE_COMPLIANCE,Yard 1,Logistics,SUSPENDED_LOAD,NONE,NONE,SAFE_COMPLIANCE,NON_SIF_PRECURSOR,0,LOW
REP-2112,Forklift carried unstrapped steel pipes on forks down steep ramp.,UNSAFE_ACT,Warehouse Ramp,Logistics,SUSPENDED_LOAD,UNSTRAPPED_LOAD,STEEP_RAMP,UNSAFE_BEHAVIOR,SIF_PRECURSOR,1,HIGH
